CALDB environment variable = /opt/local/HEA/chandra/CALDB
             CALDB version = 4.5.5.1
             release date  = 2013-01-08T17:00:00 UTC
CALDB query completed successfully.
 
--------------------------------------------------------------------------------
Data for Table Block LIGHTCURVE
--------------------------------------------------------------------------------
 
ROW    TIME                 COUNT_RATE           COUNT_RATE_ERR
  8352  75137531.5620830059                    0                    0
  8353  75137534.8031229973     0.31249999939449     0.31249999939449
  8354  75137538.0441630185     0.31249999939449     0.31249999939449
  8355  75137541.2852030098                    0                    0
  8356  75137544.5262430012                    0                    0
  8357  75137547.7672829926                    0                    0
  8358  75137551.0083230138                    0                    0
  8359  75137554.2493630052                    0                    0
  8360  75137557.4904029965                    0                    0
  8361  75137560.7314430177                    0                    0
  8362  75137563.9724830091                    0                    0
  8363  75137567.2135230005                    0                    0
  8364  75137570.4545629919                    0                    0
  8365  75137573.6956030130     0.31249999939449     0.31249999939449
  8366  75137576.9366430044                    0                    0
  8367  75137580.1776829958                    0                    0
  8368  75137583.4187230170                    0                    0
  8369  75137586.6597630084                    0                    0
  8370  75137589.9008029997                    0                    0
  8371  75137593.1418430209                    0                    0
  8372  75137596.3828830123                    0                    0
  8373  75137599.6239230037                    0                    0
  8374  75137602.8649629951                    0                    0
  8375  75137606.1060030162     0.31249999939449     0.31249999939449
  8376  75137609.3470430076                    0                    0
  8377  75137612.5880829990                    0                    0
  8378  75137615.8291230202                    0                    0
  8379  75137619.0701630116                    0                    0
  8380  75137622.3112030029                    0                    0
  8381  75137625.5522429943     0.31249999939449     0.31249999939449
  8382  75137628.7932830155                    0                    0
  8383  75137632.0343230069                    0                    0
  8384  75137635.2753629982                    0                    0
  8385  75137638.5164030194                    0                    0
  8386  75137641.7574430108                    0                    0
  8387  75137644.9984830022                    0                    0
  8388  75137648.2395229936                    0                    0
  8389  75137651.4805630147                    0                    0
  8390  75137654.7216030061     0.31249999939449     0.31249999939449
  8391  75137657.9626429975                    0                    0
  8392  75137661.2036830187                    0                    0
  8393  75137664.4447230101     0.31249999939449     0.31249999939449
  8394  75137667.6857630014     0.31249999939449     0.31249999939449
  8395  75137670.9268029928                    0                    0
  8396  75137674.1678430140                    0                    0
  8397  75137677.4088830054                    0                    0
  8398  75137680.6499229968                    0                    0
  8399  75137683.8909630179                    0                    0
  8400  75137687.1320030093                    0                    0
  8401  75137690.3730430007                    0                    0
  8402  75137693.6140829921                    0                    0
  8403  75137696.8551230133                    0                    0
  8404  75137700.0961630046                    0                    0
  8405  75137703.3372029960                    0                    0
  8406  75137706.5782430172     0.31249999939449     0.31249999939449
  8407  75137709.8192830086                    0                    0
  8408     75137713.0603230                    0                    0
  8409  75137716.3013630211                    0                    0
  8410  75137719.5424030125                    0                    0
  8411  75137722.7834430039                    0                    0
  8412  75137726.0244829953                    0                    0
  8413  75137729.2655230165                    0                    0
  8414  75137732.5065630078     0.31249999939449     0.31249999939449
  8415  75137735.7476029992                    0                    0
