# time (s), error time (250 s bins), rate, error rate
# converion to flux 1E-12 erg/s/cm2
49745.9023 125 0.264718801 3.59913036E-2 0.998641968
49995.9023 125 0.237740129 3.52782644E-2 0.998641968
50245.9023 125 0.281447917 3.92338112E-2 1.00448203
50495.9023 125 0.288592458 3.83694135E-2 0.998641968
50745.9023 125 0.164996609 3.14321332E-2 0.998641968
50995.9023 125 0.283307642 3.83120105E-2 0.998641968
51245.9023 125 0.181698263 3.22906785E-2 1.00448203
51495.9023 125 0.300697535 3.97829078E-2 0.998641968
51745.9023 125 0.271514773 3.67512852E-2 0.998641968
51995.9023 125 0.227777898 3.54461595E-2 0.998641968
52245.9023 125 0.260153115 3.67182158E-2 1.00448203
52495.9023 125 0.215777874 3.47071327E-2 0.998641968
52745.9023 125 0.220450848 3.52798179E-2 0.998641968
52995.9023 125 0.256263763 3.66775803E-2 0.998641968
53245.9023 125 0.216855898 3.40235904E-2 0.998641968
53495.9023 125 0.26407975 3.71842906E-2 1.00448203
53745.9023 125 0.209558934 3.3097025E-2 0.998641968
53995.9023 125 0.259471357 3.60294878E-2 0.998641968
54245.9023 125 0.298974842 3.91036607E-2 0.998641968
54495.9023 125 0.240630224 3.52426507E-2 1.00448203
54745.9023 125 0.251719266 3.61307748E-2 0.998641968
54995.9023 125 0.293651462 3.8801346E-2 0.998641968
55245.9023 125 0.205446318 3.30523066E-2 0.998641968
55495.9023 125 0.143897668 2.69681923E-2 1.00448203
55745.9023 125 0.165524736 2.92741004E-2 0.998641968
55995.9023 125 0.235732526 3.62290554E-2 0.998641968
56245.9023 125 0.236724421 3.58308144E-2 0.998641968
56495.9023 125 0.143285453 3.1412065E-2 0.998641968
56745.9023 125 0.238681257 3.40671949E-2 1.00448203
56995.9023 125 0.174093947 2.99062673E-2 0.998641968
57245.9023 125 0.166250914 2.87604723E-2 0.998641968
57495.9023 125 0.190486774 3.09330113E-2 0.998641968
57745.9023 125 0.237162337 3.35891619E-2 1.00448203
57995.9023 125 0.211571455 3.34671699E-2 0.998641968
58245.9023 125 0.227487952 3.48354504E-2 0.998641968
58495.9023 125 0.201456651 3.35762091E-2 0.998641968
58745.9023 125 0.262484699 7.19472691E-2 1.00448203
58995.9023 125 0.291530877 8.99179354E-2 0.998641968
59245.9023 125 0.438082695 0.108754158 0.776720941
59495.9023 125 0.380564004 5.31412959E-2 0.998641968
59745.9023 125 0.167796209 5.33731468E-2 0.998641968
59995.9023 125 0.279719919 3.91862877E-2 1.00448203
60245.9023 125 0.22172679 3.43464874E-2 0.998641968
60495.9023 125 0.160667241 2.8857993E-2 0.998641968
60745.9023 125 0.166007221 3.13258134E-2 0.998641968
60995.9023 125 0.216467112 3.47919278E-2 1.00448203
61245.9023 125 0.171226338 3.06526497E-2 0.998641968
61495.9023 125 0.16821596 3.01225968E-2 0.998641968
61745.9023 125 0.223417535 3.55555601E-2 0.998641968
