Ref= Margutti GRB catalogue
Spec Model= Absorbed power-law with NH_Galaxy=0.09d22 and NH_intrinsic=0.6d22 .  Time variable Photon Index
Comments= this LC is available in any energy band contained in the 0.3-10 keV range. This SN is linked to GRB060218. 
The obs extends up to      85.5625000       72.6898575   Swift-XRT     4.3419190768820278e+02   1.6518451645582132e+02: this last
bin has to be calculated manually with Ximage

time(days)       	ertime	  instrument		flux(1d-15 erg/s/cm2)		erflux 
      0.0024490        0.0000017   Swift-XRT     6.2569460723693734e+06   1.9427028874474671e+06
      0.0024525        0.0000017   Swift-XRT     5.0031498943781117e+06   1.6860384199901544e+06
      0.0024565        0.0000023   Swift-XRT     4.6878203541211858e+06   1.4566758910206088e+06
      0.0024617        0.0000029   Swift-XRT     2.9980389282258102e+06   1.0112447546006819e+06
      0.0024675        0.0000029   Swift-XRT     2.9956321867530276e+06   1.0110083881187392e+06
      0.0024727        0.0000023   Swift-XRT     3.9756962166848094e+06   1.3127865461370901e+06
      0.0024768        0.0000017   Swift-XRT     5.6095887934759501e+06   1.8147265912205055e+06
      0.0024808        0.0000023   Swift-XRT     4.9056261275381977e+06   1.5018817300926910e+06
      0.0024854        0.0000023   Swift-XRT     3.9686636199576240e+06   1.3121480568756282e+06
      0.0024906        0.0000029   Swift-XRT     3.3592548742689132e+06   1.0882903467290816e+06
      0.0024959        0.0000023   Swift-XRT     4.1960221963677211e+06   1.3601073600710833e+06
      0.0025016        0.0000035   Swift-XRT     2.7950912695473558e+06   9.0654866946593404e+05
      0.0025074        0.0000023   Swift-XRT     4.1892520563635570e+06   1.3595389258824752e+06
      0.0025115        0.0000017   Swift-XRT     5.5825104539053421e+06   1.8124532985552831e+06
      0.0025167        0.0000035   Swift-XRT     2.9441813431674289e+06   9.3788399269101315e+05
      0.0025219        0.0000017   Swift-XRT     5.8840754491029652e+06   1.8754349184746386e+06
      0.0025265        0.0000029   Swift-XRT     3.5281588761648661e+06   1.1250833598097642e+06
      0.0025317        0.0000023   Swift-XRT     4.1750367607562565e+06   1.3583455471533055e+06
      0.0025369        0.0000029   Swift-XRT     2.9667484024997745e+06   1.0081706580677973e+06
      0.0025410        0.0000012   Swift-XRT     7.8759505584002901e+06   2.6187243484798726e+06
      0.0025445        0.0000023   Swift-XRT     4.1675902728854907e+06   1.3577203805681393e+06
      0.0025508        0.0000041   Swift-XRT     2.5115385327012516e+06   8.0296508331301191e+05
      0.0025566        0.0000017   Swift-XRT     4.9354338393925438e+06   1.6784471590369774e+06
      0.0025607        0.0000023   Swift-XRT     4.3964778484451016e+06   1.4037515594367278e+06
      0.0025653        0.0000023   Swift-XRT     4.3974566210636105e+06   1.4030263617570426e+06
      0.0025694        0.0000017   Swift-XRT     5.2471103018092429e+06   1.7418697595417141e+06
      0.0025728        0.0000017   Swift-XRT     5.8653966128474614e+06   1.8691295178285826e+06
      0.0025769        0.0000023   Swift-XRT     4.8630521831682920e+06   1.4942527215566768e+06
      0.0025821        0.0000029   Swift-XRT     3.3354996542556132e+06   1.0823216767263943e+06
      0.0025873        0.0000023   Swift-XRT     3.9387280104108411e+06   1.3039317403595874e+06
      0.0025925        0.0000029   Swift-XRT     2.9663724809836363e+06   1.0033858188762678e+06
      0.0025977        0.0000023   Swift-XRT     3.7088934146112250e+06   1.2535640303568128e+06
      0.0026029        0.0000029   Swift-XRT     2.9678566271229554e+06   1.0023167851258563e+06
      0.0026081        0.0000023   Swift-XRT     3.9426697462374703e+06   1.3010622579301412e+06
      0.0026128        0.0000023   Swift-XRT     4.1755194857273633e+06   1.3483875127562326e+06
      0.0026168        0.0000017   Swift-XRT     5.2590825028175907e+06   1.7331556190214313e+06
      0.0026203        0.0000017   Swift-XRT     4.9505493038282106e+06   1.6675578695668490e+06
      0.0026237        0.0000017   Swift-XRT     5.5702957801884161e+06   1.7956918174633072e+06
      0.0026278        0.0000023   Swift-XRT     3.7142517950172755e+06   1.2497032297886789e+06
      0.0026324        0.0000023   Swift-XRT     4.8760377957535181e+06   1.4844852014306297e+06
      0.0026376        0.0000029   Swift-XRT     3.1586036008945936e+06   1.0375981185362092e+06
      0.0026428        0.0000023   Swift-XRT     4.4138563914941642e+06   1.3908744156410079e+06
      0.0026486        0.0000035   Swift-XRT     2.6335569280888648e+06   8.6365553597644856e+05
      0.0026533        0.0000012   Swift-XRT     7.4375736680565290e+06   2.4928732411666485e+06
      0.0026567        0.0000023   Swift-XRT     5.3466449045913573e+06   1.5693035759767324e+06
      0.0026614        0.0000023   Swift-XRT     4.1852583620993751e+06   1.3412321253625236e+06
      0.0026654        0.0000017   Swift-XRT     4.9612682850863617e+06   1.6598367125197910e+06
      0.0026689        0.0000017   Swift-XRT     5.5823541345034754e+06   1.7868330148829157e+06
      0.0026724        0.0000017   Swift-XRT     5.8934639390884051e+06   1.8483328201313042e+06
      0.0026764        0.0000023   Swift-XRT     3.9555914099764773e+06   1.2916575586885414e+06
      0.0026810        0.0000023   Swift-XRT     4.1892005420152140e+06   1.3383358865581839e+06
      0.0026857        0.0000023   Swift-XRT     5.1212678542356109e+06   1.5196747193968461e+06
      0.0026909        0.0000029   Swift-XRT     3.7254861418034579e+06   1.1432833568747467e+06
      0.0026955        0.0000017   Swift-XRT     6.5210432609319463e+06   1.9645269855317336e+06
      0.0027001        0.0000029   Swift-XRT     3.1680651435550540e+06   1.0307119602259716e+06
      0.0027065        0.0000035   Swift-XRT     3.1068905226305784e+06   9.5100438635142834e+05
      0.0027117        0.0000017   Swift-XRT     4.9722612693869900e+06   1.6519172696405347e+06
      0.0027158        0.0000023   Swift-XRT     4.1961571994875157e+06   1.3332250858866244e+06
      0.0027204        0.0000023   Swift-XRT     5.3629416463252250e+06   1.5568878408700470e+06
      0.0027250        0.0000023   Swift-XRT     4.6644581530586034e+06   1.4234278200575544e+06
      0.0027291        0.0000017   Swift-XRT     5.9094560356243160e+06   1.8364835208117822e+06
      0.0027331        0.0000023   Swift-XRT     3.7330090130183175e+06   1.2361911494451759e+06
      0.0027378        0.0000023   Swift-XRT     4.9006572133691860e+06   1.4659679026252092e+06
      0.0027430        0.0000029   Swift-XRT     3.1745475137512353e+06   1.0259935123713148e+06
      0.0027487        0.0000029   Swift-XRT     3.1754232576730601e+06   1.0253560223105750e+06
      0.0027534        0.0000017   Swift-XRT     4.9821555769824497e+06   1.6447898598670461e+06
      0.0027569        0.0000017   Swift-XRT     4.9829798065559315e+06   1.6441958905488716e+06
      0.0027609        0.0000023   Swift-XRT     3.9715790656202896e+06   1.2800212001451426e+06
      0.0027655        0.0000023   Swift-XRT     3.9724548095421139e+06   1.2793834880397979e+06
      0.0027696        0.0000017   Swift-XRT     4.9860031658965908e+06   1.6420180770637670e+06
      0.0027742        0.0000029   Swift-XRT     2.9922613276056605e+06   9.8473584841940459e+05
      0.0027794        0.0000023   Swift-XRT     5.1442250459388103e+06   1.5022919575002901e+06
      0.0027835        0.0000017   Swift-XRT     5.3011319778306643e+06   1.7025504339684970e+06
      0.0027869        0.0000017   Swift-XRT     5.3020081658416977e+06   1.7019128328854549e+06
      0.0027910        0.0000023   Swift-XRT     4.4451873293382954e+06   1.3676593191291885e+06
      0.0027956        0.0000023   Swift-XRT     6.0842273441608083e+06   1.6679388981089003e+06
      0.0028008        0.0000029   Swift-XRT     2.9960542935469900e+06   9.8200358955580206e+05
      0.0028055        0.0000017   Swift-XRT     5.3066799843293205e+06   1.6985122197610280e+06
      0.0028089        0.0000017   Swift-XRT     4.9953419178905273e+06   1.6352886822446065e+06
      0.0028130        0.0000023   Swift-XRT     5.1506980902615851e+06   1.4967357353512510e+06
      0.0028188        0.0000035   Swift-XRT     3.1209879125526636e+06   9.3951535440339730e+05
      0.0028246        0.0000023   Swift-XRT     4.4464849580094777e+06   1.3645227170400175e+06
      0.0028292        0.0000023   Swift-XRT     4.4457468817427065e+06   1.3644257945699678e+06
      0.0028338        0.0000023   Swift-XRT     3.7431653332475885e+06   1.2259588899610206e+06
      0.0028390        0.0000029   Swift-XRT     3.1810964973288942e+06   1.0182298337824135e+06
      0.0028442        0.0000023   Swift-XRT     3.9756273828572826e+06   1.2726799614171113e+06
      0.0028494        0.0000029   Swift-XRT     3.9281209396335725e+06   1.1620781004140212e+06
      0.0028547        0.0000023   Swift-XRT     4.2079140172290858e+06   1.3185617042665852e+06
      0.0028593        0.0000023   Swift-XRT     3.7397471785993725e+06   1.2254393055854961e+06
      0.0028645        0.0000029   Swift-XRT     3.5520950625311797e+06   1.0909491088284538e+06
      0.0028691        0.0000017   Swift-XRT     5.9191735957142552e+06   1.8181192107391551e+06
      0.0028726        0.0000017   Swift-XRT     7.4759185508810328e+06   2.1073711664598701e+06
      0.0028772        0.0000029   Swift-XRT     2.9898703512998279e+06   9.8005870086126367e+05
      0.0028819        0.0000017   Swift-XRT     5.9164673160694288e+06   1.8177636063043678e+06
      0.0028865        0.0000029   Swift-XRT     2.9888762576035787e+06   9.7990748848530976e+05
      0.0028917        0.0000023   Swift-XRT     4.6692445465623671e+06   1.4077363719167123e+06
      0.0028957        0.0000017   Swift-XRT     4.9798019041702440e+06   1.6329272378712287e+06
      0.0029004        0.0000029   Swift-XRT     3.7342302583454056e+06   1.1260428145476452e+06
      0.0029050        0.0000017   Swift-XRT     5.2892783486413462e+06   1.6952363957045688e+06
      0.0029096        0.0000029   Swift-XRT     3.5463374459254732e+06   1.0901928249040793e+06
      0.0029143        0.0000017   Swift-XRT     5.5985478475406580e+06   1.7564298904204632e+06
      0.0029183        0.0000023   Swift-XRT     3.9650602801089003e+06   1.2711530716913443e+06
