timeobs	terr1	terr2	flux	ferr1	ferr2
1661570.802	69.383	-75.226	1.044402009e-10	6.17763762e-12	-6.67209438e-12
1661716.380	68.718	-76.195	1.047766104e-10	6.17505357e-12	-6.67277541e-12
1661858.203	74.537	-73.105	1.017137142e-10	6.05489766e-12	-6.53360379e-12
1662003.060	70.359	-70.32	1.080616866e-10	6.34562502e-12	-6.8606769e-12
1662159.217	91.227	-85.799	9.97140459e-11	5.46900417e-12	-5.97508191e-12
1672233.455	90.078	-94.438	8.24012973e-11	4.95960339e-12	-5.3434773e-12
1672419.581	95.980	-96.047	7.91029869e-11	4.76108556e-12	-5.12959524e-12
1672617.532	102.615	-101.971	7.40427408e-11	4.468877805e-12	-4.812926916e-12
1672832.689	114.101	-112.541	6.74730714e-11	4.031329554e-12	-4.34781144e-12
1673046.817	103.802	-100.027	7.53144798e-11	4.483383261e-12	-4.83784875e-12
1673258.013	110.871	-107.395	7.01886423e-11	4.18590018e-12	-4.515679539e-12
1673472.407	98.776	-103.523	7.61392506e-11	4.51184307e-12	-4.87170705e-12
1673688.436	119.440	-117.253	8.25826638e-11	4.376744106e-12	-4.809199605e-12
1683903.652	107.224	-99.032	7.49687001e-11	4.49117067e-12	-4.84193976e-12
1684118.423	113.924	-107.547	7.00065996e-11	4.170091107e-12	-4.499377323e-12
1684339.514	104.259	-107.167	7.33214286e-11	4.378202766e-12	-4.722302109e-12
1684543.453	100.572	-99.68	7.75987317e-11	4.614838956e-12	-4.98038688e-12
1684759.395	115.431	-115.371	6.78663783e-11	4.003573959e-12	-4.325674101e-12
1684977.307	104.867	-102.481	7.55365149e-11	4.452464016e-12	-4.811234967e-12
1685185.241	102.970	-103.067	7.57475376e-11	4.493818959e-12	-4.85145003e-12
1685403.598	126.058	-115.388	7.92014223e-11	4.245986346e-12	-4.656422841e-12
1696013.861	152.747	-159.843	7.39935714e-11	4.554998154e-12	-4.89256299e-12
1696339.258	161.395	-172.65	7.20019692e-11	4.324016445e-12	-4.660140009e-12
1696684.830	185.738	-184.177	6.41224038e-11	3.885705537e-12	-4.182549609e-12
1697115.347	234.201	-244.779	7.52179281e-11	3.687523875e-12	-4.110158535e-12
1708124.095	138.547	-137.277	5.96405502e-11	3.632257566e-12	-3.907071042e-12
1708392.664	119.538	-130.021	6.60317994e-11	3.992862468e-12	-4.299153054e-12
1708695.222	174.397	-183.02	5.55351468e-11	3.060135855e-12	-3.340795563e-12
1714116.402	81.792	-85.783	9.10093716e-11	5.43881667e-12	-5.86560513e-12
1714280.862	87.044	-82.668	9.06995754e-11	5.35486161e-12	-5.78501175e-12
1714528.104	161.143	-160.199	8.63804445e-11	3.81523632e-12	-4.347679581e-12
1718412.276	89.401	-99.286	9.51774201e-11	5.69038722e-12	-6.13654398e-12
1718595.639	93.840	-93.962	9.58093773e-11	5.6936523e-12	-6.14529111e-12
1718791.466	98.890	-101.987	8.89818825e-11	5.35703994e-12	-5.77147326e-12
1718985.126	102.926	-94.77	9.09706833e-11	5.43417504e-12	-5.86094901e-12
1719177.548	92.004	-89.497	9.88707762e-11	5.92658871e-12	-6.38893563e-12
